Number of nodes 811 
     0 :  8.1000000e-03  0.0000000e+00 
     1 :  4.0500000e-03  7.0148058e-03 
     2 : -4.0500000e-03  7.0148058e-03 
     3 : -8.1000000e-03  9.9196391e-19 
     4 : -4.0500000e-03 -7.0148058e-03 
     5 :  4.0500000e-03 -7.0148058e-03 
     6 :  8.1000000e-03  1.7320508e-02 
     7 :  4.0500000e-03  2.4335314e-02 
     8 : -4.0500000e-03  2.4335314e-02 
     9 : -8.1000000e-03  1.7320508e-02 
    10 : -4.0500000e-03  1.0305702e-02 
    11 :  4.0500000e-03  1.0305702e-02 
    12 :  2.3100000e-02  8.6602540e-03 
    13 :  1.9050000e-02  1.5675060e-02 
    14 :  1.0950000e-02  1.5675060e-02 
    15 :  6.9000000e-03  8.6602540e-03 
    16 :  1.0950000e-02  1.6454483e-03 
    17 :  1.9050000e-02  1.6454483e-03 
    18 :  2.3100000e-02  2.5980762e-02 
    19 :  1.9050000e-02  3.2995568e-02 
    20 :  1.0950000e-02  3.2995568e-02 
    21 :  6.9000000e-03  2.5980762e-02 
    22 :  1.0950000e-02  1.8965956e-02 
    23 :  1.9050000e-02  1.8965956e-02 
    24 :  3.8100000e-02  0.0000000e+00 
    25 :  3.4050000e-02  7.0148058e-03 
    26 :  2.5950000e-02  7.0148058e-03 
    27 :  2.1900000e-02  9.9196391e-19 
    28 :  2.5950000e-02 -7.0148058e-03 
    29 :  3.4050000e-02 -7.0148058e-03 
    30 :  3.8100000e-02  1.7320508e-02 
    31 :  3.4050000e-02  2.4335314e-02 
    32 :  2.5950000e-02  2.4335314e-02 
    33 :  2.1900000e-02  1.7320508e-02 
    34 :  2.5950000e-02  1.0305702e-02 
    35 :  3.4050000e-02  1.0305702e-02 
    36 : -5.0000000e-03  2.5980762e-02 
    37 : -1.0000000e-02  1.7320508e-02 
    38 :  5.0000000e-03  2.5980762e-02 
    39 : -5.0000000e-03  8.6602540e-03 
    40 :  1.0000000e-02  3.4641016e-02 
    41 : -1.0000000e-02  1.2246468e-18 
    42 :  1.0000000e-02  3.7974349e-02 
    43 : -5.0000000e-03 -8.6602540e-03 
    44 :  2.0000000e-02  3.7974349e-02 
    45 : -1.0000000e-02 -8.6602540e-03 
    46 :  2.0000000e-02  3.4641016e-02 
    47 : -1.0000000e-02 -1.1993587e-02 
    48 :  2.5000000e-02  2.5980762e-02 
    49 :  4.0000000e-02 -1.1993587e-02 
    50 :  3.5000000e-02  2.5980762e-02 
    51 :  4.0000000e-02 -8.6602540e-03 
    52 :  4.0000000e-02  1.7320508e-02 
    53 :  3.5000000e-02 -8.6602540e-03 
    54 :  3.5000000e-02  8.6602540e-03 
    55 :  4.0000000e-02  0.0000000e+00 
    56 :  2.5000000e-02 -8.6602540e-03 
    57 :  2.0000000e-02  0.0000000e+00 
